customer_id,name,email,phone,gender,age,city,registration_date,account_age_days,total_orders,total_spend,avg_order_value,purchase_frequency,last_purchase_days,last_purchase_date,app_sessions_monthly,email_open_rate,wishlist_items,cart_abandonment_rate,reviews_written,avg_rating_given,referrals_made,support_tickets,returns_count,returns_rate,preferred_category,preferred_payment,engagement_score,sentiment_score,brand_interaction,nps_score,reward_preference,behavior_type
SK000001,Pallavi Goel,pallavi.goel12@outlook.com,+91-8922885247,F,20,Pune,2025-03-10,391,13,49686,3822,4,13,2026-03-23,15,0.43,9,0.53,5,4.6,1,2,1,0.08,Accessories,COD,64,54,92,6,Exclusive Collections,regular
SK000002,Aarav Jain,aarav.jain61@yahoo.com,+91-8407577749,M,35,Delhi,2024-11-23,498,26,80444,3094,10,12,2026-03-24,18,0.49,9,0.54,6,4.9,4,1,0,0.04,Western Wear,Wallet,80,74,100,8,Cashback,loyal
SK000003,Anjali Menon,anjali.menon31@yahoo.com,+91-9792784811,F,34,Jaipur,2025-10-06,181,26,73086,2811,12,11,2026-03-25,18,0.56,15,0.68,8,3.6,4,2,0,0.03,Accessories,Debit Card,94,75,100,9,Early Access,loyal
SK000004,Rahul Malhotra,rahul.malhotra86@outlook.com,+91-9524643497,M,42,Jaipur,2025-07-17,262,3,8415,2805,2,42,2026-02-22,5,0.23,5,0.66,0,,0,2,0,0.09,Western Wear,Wallet,43,54,25,6,Discount,occasional
SK000005,Myra Pillai,myra.pillai35@yahoo.com,+91-7992663644,F,26,Jaipur,2024-08-10,603,23,124223,5401,12,7,2026-03-29,29,0.53,8,0.34,8,4.2,1,1,1,0.07,Ethnic Wear,COD,92,83,100,9,Free Shipping,loyal
SK000006,Aarush Desai,aarush.desai99@hotmail.com,+91-9615038809,M,26,Bangalore,2025-02-12,417,35,136955,3913,15,10,2026-03-26,29,0.64,13,0.27,13,4.0,3,0,1,0.05,Ethnic Wear,Debit Card,77,94,100,9,Free Shipping,loyal
SK000007,Kavita Sharma,kavita.sharma94@outlook.com,+91-7214240189,F,18,Gurgaon,2024-09-05,577,12,19452,1621,6,25,2026-03-11,10,0.29,5,0.5,2,4.9,1,2,1,0.1,Footwear,COD,68,50,55,8,Cashback,regular
SK000008,Riya Jain,riya.jain60@gmail.com,+91-8734079177,F,41,Gurgaon,2025-12-11,115,10,37310,3731,7,29,2026-03-07,14,0.44,9,0.36,3,4.1,0,1,0,0.1,Western Wear,Debit Card,60,55,70,9,Free Shipping,regular
SK000009,Aakash Goel,aakash.goel72@yahoo.com,+91-9110543991,M,27,Chennai,2025-05-19,321,6,8484,1414,2,45,2026-02-19,6,0.28,1,0.49,2,4.3,0,2,0,0.1,Ethnic Wear,Debit Card,41,54,25,6,Discount,occasional
SK000010,Veer Mittal,veer.mittal22@gmail.com,+91-8704812386,M,24,Chandigarh,2024-07-22,622,15,27735,1849,4,28,2026-03-08,14,0.43,5,0.55,3,4.8,2,3,0,0.06,Sportswear,Credit Card,63,46,78,9,Free Shipping,regular
SK000011,Kavita Patel,kavita.patel33@hotmail.com,+91-9923835899,F,25,Jaipur,2025-03-03,398,12,37824,3152,6,11,2026-03-25,13,0.38,5,0.52,2,3.6,1,0,0,0.08,Sportswear,Credit Card,69,73,61,9,Early Access,regular
SK000012,Ayaan Reddy,ayaan.reddy22@gmail.com,+91-9716929934,M,37,Noida,2025-06-03,306,13,50102,3854,5,21,2026-03-15,15,0.36,9,0.59,4,3.5,2,0,1,0.1,Accessories,Credit Card,65,67,97,8,Exclusive Collections,regular
SK000013,Aditya Malhotra,aditya.malhotra26@yahoo.com,+91-9770038818,M,33,Delhi,2025-03-09,392,8,8656,1082,4,40,2026-02-24,4,0.24,5,0.48,2,4.0,0,2,0,0.11,Footwear,Credit Card,50,55,33,6,Cashback,occasional
SK000014,Riya Agarwal,riya.agarwal45@outlook.com,+91-7206464992,F,26,Bangalore,2024-05-10,695,37,99456,2688,15,3,2026-04-02,25,0.55,17,0.28,3,3.5,1,1,1,0.05,Western Wear,Debit Card,91,62,100,10,Exclusive Collections,loyal
SK000015,Kabir Iyer,kabir.iyer37@hotmail.com,+91-9095444662,M,25,Noida,2025-03-24,377,30,122700,4090,15,4,2026-04-01,22,0.63,15,0.52,14,4.2,2,2,0,0.03,Footwear,UPI,81,89,100,9,Free Shipping,loyal
SK000016,Ananya Patel,ananya.patel3@outlook.com,+91-8437315489,F,41,Hyderabad,2024-04-27,708,31,176607,5697,9,10,2026-03-26,27,0.59,9,0.34,7,3.7,3,0,2,0.08,Sportswear,UPI,93,73,100,8,Free Shipping,loyal
SK000017,Khushi Bhatia,khushi.bhatia1@hotmail.com,+91-8176376560,F,21,Bhopal,2025-05-22,318,3,4731,1577,3,31,2026-03-05,7,0.15,0,0.58,0,,0,1,0,0.14,Accessories,UPI,52,44,14,6,Free Shipping,occasional
SK000018,Aarav Rao,aarav.rao24@yahoo.com,+91-9913016231,M,30,Vadodara,2025-01-17,443,9,32787,3643,5,22,2026-03-14,9,0.28,7,0.26,1,5.0,2,2,1,0.11,Accessories,COD,71,43,64,8,Early Access,regular
SK000019,Iraa Mittal,iraa.mittal92@outlook.com,+91-9769351759,F,29,Noida,2025-11-12,144,14,101290,7235,9,6,2026-03-30,22,0.55,9,0.42,5,4.9,4,2,1,0.07,Western Wear,Wallet,93,66,100,10,Exclusive Collections,loyal
SK000020,Deepak Nair,deepak.nair64@outlook.com,+91-9855713931,M,35,Coimbatore,2024-07-30,614,8,22328,2791,4,55,2026-02-09,8,0.26,2,0.39,1,3.5,0,1,1,0.14,Sportswear,Wallet,46,46,27,8,Discount,occasional
SK000021,Ayaan Goel,ayaan.goel35@gmail.com,+91-9305061929,M,59,Gurgaon,2024-07-11,633,15,48120,3208,4,14,2026-03-22,11,0.32,9,0.4,4,4.3,2,1,1,0.11,Accessories,Wallet,73,56,89,9,Exclusive Collections,regular
SK000022,Dev Patel,dev.patel96@outlook.com,+91-9475560206,M,43,Indore,2025-08-10,238,30,227970,7599,10,2,2026-04-03,15,0.68,12,0.24,15,4.0,2,2,1,0.05,Ethnic Wear,UPI,80,95,100,10,Cashback,loyal
SK000023,Krishna Verma,krishna.verma79@yahoo.com,+91-7650150061,M,34,Nagpur,2024-12-04,487,3,5325,1775,1,100,2025-12-26,1,0.01,2,0.4,0,,0,3,0,0.16,Ethnic Wear,COD,14,20,8,1,Gift Card,dormant
